time	V(vout)
Step Information: Run=0  (Step: 1/9)
0.000000000000000e+00	1.558742e-06
1.867297155739665e-15	2.515584e-06
4.944373095832172e-15	4.042873e-06
8.188566491083603e-15	5.554077e-06
1.467695328158647e-14	8.323211e-06
2.765372686259220e-14	1.297649e-05
5.360727402460365e-14	1.961284e-05
1.055143683486266e-13	2.664590e-05
2.093285569966724e-13	3.127232e-05
4.169569342927641e-13	3.414734e-05
8.322136888849473e-13	3.980637e-05
1.662727198069314e-12	5.098217e-05
3.323754216438047e-12	7.266086e-05
6.645808253175514e-12	1.135496e-04
1.328991632665045e-11	1.862914e-04
2.525344626353556e-11	2.918731e-04
4.918050613730578e-11	4.331434e-04
9.703462588484623e-11	5.648202e-04
9.721394110262089e-11	5.650058e-04
9.757257153817024e-11	5.654314e-04
9.828983240926893e-11	5.663141e-04
9.972435415146631e-11	5.680136e-04
1.025933976358611e-10	5.712867e-04
1.083314846046506e-10	5.772674e-04
1.198076585422296e-10	5.874017e-04
1.427600064173877e-10	6.022737e-04
1.886647021677038e-10	6.201385e-04
2.804740936683362e-10	6.395913e-04
4.584992185459499e-10	6.686532e-04
7.579092059353309e-10	7.181435e-04
1.356729180714093e-09	8.168106e-04
1.907331658495524e-09	9.076550e-04
3.008536614058386e-09	1.089195e-03
5.210946525184111e-09	1.452394e-03
9.459285427300665e-09	1.829547e-03
1.783553046553706e-08	2.516996e-03
2.805983249066700e-08	3.363645e-03
2.837934192895231e-08	3.388572e-03
2.901836080552293e-08	3.441108e-03
2.917811552466558e-08	3.454366e-03
2.949762496295089e-08	3.480748e-03
2.957750232252222e-08	3.487332e-03
2.973725704166488e-08	3.500798e-03
3.005676647995019e-08	3.530014e-03
3.069578535652081e-08	3.595513e-03
3.197382310966205e-08	3.740746e-03
3.452989861594453e-08	4.054192e-03
3.964204962850950e-08	4.712685e-03
4.986635165363944e-08	6.138804e-03
7.031495570389931e-08	9.500196e-03
7.542710671646428e-08	1.048420e-02
8.565140874159422e-08	1.256667e-02
1.061000127918541e-07	1.609434e-02
1.469972208923738e-07	2.284863e-02
2.287916370934133e-07	3.639911e-02
3.007019119134017e-07	4.835288e-02
3.793985112601020e-07	6.150455e-02
4.592436567558773e-07	7.492068e-02
5.523102421402938e-07	9.067358e-02
7.384434129091268e-07	1.213686e-01
7.784982440938946e-07	1.279757e-01
8.586079064634301e-07	1.411879e-01
8.786353220558138e-07	1.444910e-01
9.186901532405816e-07	1.510971e-01
9.287038610367735e-07	1.527487e-01
9.312072879858215e-07	1.531616e-01
9.318331447230835e-07	1.532648e-01
9.319896089073990e-07	1.532906e-01
9.323025372760300e-07	1.533422e-01
9.323807693681877e-07	1.533551e-01
9.325372335525032e-07	1.533809e-01
9.328501619211342e-07	1.534325e-01
9.334760186583962e-07	1.535357e-01
9.347277321329203e-07	1.537422e-01
9.372311590819682e-07	1.541551e-01
9.422380129800641e-07	1.549808e-01
9.522517207762561e-07	1.566324e-01
9.722791363686399e-07	1.599355e-01
1.012333967553408e-06	1.665416e-01
1.092443629922943e-06	1.797540e-01
1.252662954662014e-06	2.061789e-01
1.573101604140156e-06	2.590287e-01
2.213978903096439e-06	3.647285e-01
3.213978903096439e-06	5.296587e-01
4.213978903096439e-06	6.945889e-01
6.213978903096439e-06	1.024450e+00
7.213978903096439e-06	1.189380e+00
