run	t_period
1.000000000000000e+00	1.068926e+00
2.000000000000000e+00	9.601714e-01
3.000000000000000e+00	1.101311e+00
4.000000000000000e+00	1.055713e+00
5.000000000000000e+00	1.053853e+00
6.000000000000000e+00	9.199828e-01
7.000000000000000e+00	1.008324e+00
8.000000000000000e+00	9.435788e-01
9.000000000000000e+00	1.047587e+00
1.000000000000000e+01	9.330985e-01
1.100000000000000e+01	9.705184e-01
1.200000000000000e+01	1.098973e+00
1.300000000000000e+01	1.049298e+00
1.400000000000000e+01	9.246458e-01
1.500000000000000e+01	9.031829e-01
1.600000000000000e+01	1.000835e+00
1.700000000000000e+01	1.069044e+00
1.800000000000000e+01	1.038990e+00
1.900000000000000e+01	1.055850e+00
2.000000000000000e+01	1.061190e+00
2.100000000000000e+01	1.073734e+00
2.200000000000000e+01	9.853486e-01
2.300000000000000e+01	1.046547e+00
2.400000000000000e+01	1.100063e+00
2.500000000000000e+01	8.991131e-01
2.600000000000000e+01	1.079757e+00
2.700000000000000e+01	1.096379e+00
2.800000000000000e+01	1.025106e+00
2.900000000000000e+01	1.036810e+00
3.000000000000000e+01	9.431975e-01
3.100000000000000e+01	9.713619e-01
3.200000000000000e+01	1.088540e+00
3.300000000000000e+01	9.794887e-01
3.400000000000000e+01	1.084150e+00
3.500000000000000e+01	1.024125e+00
3.600000000000000e+01	9.686552e-01
3.700000000000000e+01	1.103246e+00
3.800000000000000e+01	1.006149e+00
3.900000000000000e+01	9.938105e-01
4.000000000000000e+01	1.071928e+00
4.100000000000000e+01	1.091254e+00
4.200000000000000e+01	9.798500e-01
4.300000000000000e+01	1.065443e+00
4.400000000000000e+01	1.048615e+00
4.500000000000000e+01	9.219652e-01
4.600000000000000e+01	9.202702e-01
4.700000000000000e+01	1.032112e+00
4.800000000000000e+01	9.366109e-01
4.900000000000000e+01	1.046902e+00
5.000000000000000e+01	1.002497e+00
5.100000000000000e+01	1.068484e+00
5.200000000000000e+01	9.463725e-01
5.300000000000000e+01	9.687628e-01
5.400000000000000e+01	1.069550e+00
5.500000000000000e+01	9.942651e-01
5.600000000000000e+01	1.093301e+00
5.700000000000000e+01	9.908407e-01
5.800000000000000e+01	9.601563e-01
5.900000000000000e+01	1.064124e+00
6.000000000000000e+01	9.945679e-01
6.100000000000000e+01	9.615262e-01
6.200000000000000e+01	9.650474e-01
6.300000000000000e+01	1.064224e+00
6.400000000000000e+01	9.893006e-01
6.500000000000000e+01	1.005134e+00
6.600000000000000e+01	9.788774e-01
6.700000000000000e+01	1.083138e+00
6.800000000000000e+01	9.413654e-01
6.900000000000000e+01	9.487733e-01
7.000000000000000e+01	1.055377e+00
7.100000000000000e+01	9.082693e-01
7.200000000000000e+01	1.074126e+00
7.300000000000000e+01	9.478223e-01
7.400000000000000e+01	9.197061e-01
7.500000000000000e+01	1.021392e+00
7.600000000000000e+01	1.037463e+00
7.700000000000000e+01	9.239773e-01
7.800000000000000e+01	1.051921e+00
7.900000000000000e+01	9.703963e-01
8.000000000000000e+01	1.052275e+00
8.100000000000000e+01	9.440787e-01
8.200000000000000e+01	9.437252e-01
8.300000000000000e+01	9.601516e-01
8.400000000000000e+01	1.016240e+00
8.500000000000000e+01	9.773055e-01
8.600000000000000e+01	9.588463e-01
8.700000000000000e+01	1.054956e+00
8.800000000000000e+01	9.092709e-01
8.900000000000000e+01	9.650735e-01
9.000000000000000e+01	1.065116e+00
9.100000000000000e+01	8.968071e-01
9.200000000000000e+01	9.174865e-01
9.300000000000000e+01	1.038760e+00
9.400000000000000e+01	9.876403e-01
9.500000000000000e+01	9.763017e-01
9.600000000000000e+01	1.001467e+00
9.700000000000000e+01	1.000986e+00
9.800000000000000e+01	1.000539e+00
9.900000000000000e+01	1.088450e+00
1.000000000000000e+02	9.658855e-01
