run	t_period
1.000000000000000e+00	1.022562e+00
2.000000000000000e+00	9.946829e-01
3.000000000000000e+00	1.048102e+00
4.000000000000000e+00	1.014848e+00
5.000000000000000e+00	1.003054e+00
6.000000000000000e+00	9.819905e-01
7.000000000000000e+00	1.015517e+00
8.000000000000000e+00	9.697982e-01
9.000000000000000e+00	9.655997e-01
1.000000000000000e+01	1.014172e+00
1.100000000000000e+01	9.562543e-01
1.200000000000000e+01	9.878373e-01
1.300000000000000e+01	1.028867e+00
1.400000000000000e+01	1.010306e+00
1.500000000000000e+01	1.031398e+00
1.600000000000000e+01	1.030766e+00
1.700000000000000e+01	9.988822e-01
1.800000000000000e+01	1.021714e+00
1.900000000000000e+01	9.415575e-01
2.000000000000000e+01	1.045045e+00
2.100000000000000e+01	1.016914e+00
2.200000000000000e+01	1.012781e+00
2.300000000000000e+01	9.908807e-01
2.400000000000000e+01	9.811061e-01
2.500000000000000e+01	9.810696e-01
2.600000000000000e+01	9.937754e-01
2.700000000000000e+01	9.843102e-01
2.800000000000000e+01	1.046219e+00
2.900000000000000e+01	9.986227e-01
3.000000000000000e+01	9.899680e-01
3.100000000000000e+01	1.039372e+00
3.200000000000000e+01	1.008630e+00
3.300000000000000e+01	1.002913e+00
3.400000000000000e+01	9.584213e-01
3.500000000000000e+01	9.978551e-01
3.600000000000000e+01	9.848636e-01
3.700000000000000e+01	1.014510e+00
3.800000000000000e+01	1.027857e+00
3.900000000000000e+01	9.444087e-01
4.000000000000000e+01	9.795255e-01
4.100000000000000e+01	9.678684e-01
4.200000000000000e+01	9.903038e-01
4.300000000000000e+01	9.889654e-01
4.400000000000000e+01	9.833012e-01
4.500000000000000e+01	9.522337e-01
4.600000000000000e+01	9.757414e-01
4.700000000000000e+01	9.789875e-01
4.800000000000000e+01	9.821895e-01
4.900000000000000e+01	9.976005e-01
5.000000000000000e+01	1.028221e+00
5.100000000000000e+01	9.572324e-01
5.200000000000000e+01	9.710644e-01
5.300000000000000e+01	9.933976e-01
5.400000000000000e+01	9.691832e-01
5.500000000000000e+01	9.635555e-01
