time	V(v+)	V(v-)	V(vdd)	V(vout)	V(vref)
Step Information: Run=0  (Step: 1/16)
0.000000000000000e+00	-5.279242e-08	8.776230e-21	4.955583e-10	1.558742e-06	3.903397e-07
1.867297155739665e-15	-5.409324e-08	1.423232e-20	8.036623e-10	2.515583e-06	6.303405e-07
4.944373095832172e-15	-5.414906e-08	2.322329e-20	1.311380e-09	4.042872e-06	1.014057e-06
8.188566491083603e-15	-5.413659e-08	3.270257e-20	1.846672e-09	5.554076e-06	1.394582e-06
1.467695328158647e-14	-5.413920e-08	5.166112e-20	2.917256e-09	8.323208e-06	2.094146e-06
2.765372686259220e-14	-5.413417e-08	8.957823e-20	5.058423e-09	1.297649e-05	3.277286e-06
5.360727402460365e-14	-5.412696e-08	1.654124e-19	9.340758e-09	1.961281e-05	4.985637e-06
1.055143683486266e-13	-5.410028e-08	3.170809e-19	1.790543e-08	2.664584e-05	6.838906e-06
2.093285569966724e-13	-5.403850e-08	6.204179e-19	3.503477e-08	3.127216e-05	8.109768e-06
4.169569342927641e-13	-5.389423e-08	1.227093e-18	6.929345e-08	3.414695e-05	8.908837e-06
8.322136888849473e-13	-5.357218e-08	2.440459e-18	1.378108e-07	3.980549e-05	1.043971e-05
1.662727198069314e-12	-5.277574e-08	4.867328e-18	2.748455e-07	5.098008e-05	1.351807e-05
3.323754216438047e-12	-5.060561e-08	9.722444e-18	5.489150e-07	7.265556e-05	1.960897e-05
6.645808253175514e-12	-4.402990e-08	1.944767e-17	1.097054e-06	1.135350e-04	3.162710e-05
1.328991632665045e-11	-2.264392e-08	3.907576e-17	2.193332e-06	1.862488e-04	5.494278e-05
2.525323789672867e-11	3.989226e-08	7.613654e-17	4.167280e-06	2.917580e-04	9.467988e-05
4.917988103688512e-11	2.361773e-07	1.698057e-16	8.115176e-06	4.328584e-04	1.662040e-04
9.703316731719801e-11	8.115634e-07	5.688638e-16	1.601097e-05	5.639208e-04	2.827212e-04
9.721254766947925e-11	8.140895e-07	5.710357e-16	1.604057e-05	5.641373e-04	2.830942e-04
9.757130837404173e-11	8.191466e-07	5.753941e-16	1.609976e-05	5.645777e-04	2.838427e-04
9.828882978316669e-11	8.292819e-07	5.841987e-16	1.621815e-05	5.654540e-04	2.853370e-04
9.972387260141660e-11	8.496360e-07	6.021632e-16	1.645493e-05	5.671640e-04	2.883058e-04
1.025939582379164e-10	8.906717e-07	6.395479e-16	1.692850e-05	5.704382e-04	2.941710e-04
1.083341295109161e-10	9.740019e-07	7.204072e-16	1.787563e-05	5.764366e-04	3.056133e-04
1.198144720569154e-10	1.145335e-06	9.085987e-16	1.976988e-05	5.865819e-04	3.274005e-04
1.427751571489140e-10	1.504316e-06	1.407197e-15	2.355840e-05	6.014736e-04	3.669505e-04
1.886965273329113e-10	2.274140e-06	3.013495e-15	3.113542e-05	6.193307e-04	4.324986e-04
2.805392677009058e-10	3.959145e-06	9.458428e-15	4.628947e-05	6.387678e-04	5.245805e-04
4.589624970426378e-10	7.570637e-06	3.827036e-14	7.572931e-05	6.678574e-04	6.220225e-04
7.586544436636957e-10	1.421253e-05	1.446699e-13	1.251785e-04	7.173525e-04	6.971678e-04
1.358038336905811e-09	2.889611e-05	5.799166e-13	2.240768e-04	8.160066e-04	7.969106e-04
1.909226098894768e-09	4.387009e-05	1.216373e-12	3.150228e-04	9.068643e-04	8.874051e-04
3.011601622872681e-09	7.791831e-05	3.017639e-12	4.969148e-04	1.088418e-03	1.069105e-03
5.216352670828508e-09	1.616981e-04	8.305399e-12	8.606987e-04	1.451694e-03	1.432273e-03
9.521396518258413e-09	3.592089e-04	2.330275e-11	1.571031e-03	1.833755e-03	1.832330e-03
1.793024778297811e-08	8.054762e-04	6.431124e-11	2.958491e-03	2.525021e-03	2.509999e-03
2.823839425493552e-08	1.432735e-03	1.331682e-10	4.659336e-03	3.380045e-03	3.367119e-03
2.856052383218419e-08	1.453598e-03	1.356704e-10	4.712487e-03	3.405326e-03	3.389846e-03
2.920478298668153e-08	1.495437e-03	1.407141e-10	4.818790e-03	3.458428e-03	3.441224e-03
2.936584777530586e-08	1.505940e-03	1.419897e-10	4.845365e-03	3.471822e-03	3.454844e-03
2.968797735255454e-08	1.526977e-03	1.445506e-10	4.898517e-03	3.498482e-03	3.481339e-03
3.033223650705187e-08	1.569226e-03	1.497356e-10	5.004819e-03	3.597664e-03	3.488068e-03
3.162075481604655e-08	1.654382e-03	1.604316e-10	5.217425e-03	3.815001e-03	3.481105e-03
3.419779143403590e-08	1.827265e-03	1.835270e-10	5.642636e-03	4.236378e-03	3.485166e-03
3.935186467001461e-08	2.182451e-03	2.373495e-10	6.493058e-03	5.091673e-03	3.480010e-03
4.966001114197203e-08	2.924036e-03	3.760542e-10	8.193903e-03	6.791560e-03	3.487060e-03
7.027630408588687e-08	4.493277e-03	7.777793e-10	1.159559e-02	1.020704e-02	3.487540e-03
1.115088899737165e-07	8.241076e-03	2.079671e-09	1.839897e-02	1.704631e-02	5.640581e-03
1.514444898772993e-07	1.287764e-02	3.976203e-09	2.498834e-02	2.370864e-02	9.780996e-03
1.792081902047882e-07	1.644414e-02	5.664745e-09	2.956935e-02	2.835355e-02	1.222321e-02
2.105573782660287e-07	2.043384e-02	7.937765e-09	3.474197e-02	3.362418e-02	1.483465e-02
2.560606881602943e-07	2.621401e-02	1.193141e-08	4.225001e-02	4.129872e-02	1.878906e-02
3.361259036735283e-07	3.632673e-02	2.096722e-08	5.546077e-02	5.490853e-02	2.524946e-02
4.833855879717895e-07	5.470175e-02	4.418645e-08	7.975862e-02	7.930282e-02	3.757723e-02
5.178480729816499e-07	5.895408e-02	5.107360e-08	8.544493e-02	8.498819e-02	4.032707e-02
5.867730430013709e-07	6.747130e-02	6.577159e-08	9.681755e-02	9.635585e-02	4.601578e-02
6.040042855063012e-07	6.960367e-02	6.979249e-08	9.966071e-02	9.919778e-02	4.743829e-02
6.083120961325337e-07	7.013671e-02	7.080493e-08	1.003715e-01	9.990826e-02	4.779312e-02
6.169277173849989e-07	7.120270e-02	7.284425e-08	1.017931e-01	1.013292e-01	4.850297e-02
6.190816226981151e-07	7.146917e-02	7.335949e-08	1.021485e-01	1.016845e-01	4.868064e-02
6.233894333243477e-07	7.200213e-02	7.439358e-08	1.028593e-01	1.023950e-01	4.903618e-02
6.244663859809058e-07	7.213537e-02	7.465346e-08	1.030370e-01	1.025726e-01	4.912510e-02
6.266202912940221e-07	7.240186e-02	7.517411e-08	1.033923e-01	1.029278e-01	4.930292e-02
6.271587676223012e-07	7.246847e-02	7.530462e-08	1.034812e-01	1.030166e-01	4.934737e-02
6.282357202788593e-07	7.260172e-02	7.556585e-08	1.036589e-01	1.031943e-01	4.943626e-02
6.285049584429988e-07	7.263503e-02	7.563124e-08	1.037033e-01	1.032387e-01	4.945848e-02
6.290434347712779e-07	7.270166e-02	7.576208e-08	1.037922e-01	1.033275e-01	4.950291e-02
6.291780538533476e-07	7.271831e-02	7.579481e-08	1.038144e-01	1.033497e-01	4.951402e-02
6.292117086238651e-07	7.272247e-02	7.580299e-08	1.038199e-01	1.033552e-01	4.951680e-02
6.292790181648999e-07	7.273080e-02	7.581937e-08	1.038310e-01	1.033663e-01	4.952235e-02
6.292958455501587e-07	7.273288e-02	7.582345e-08	1.038338e-01	1.033691e-01	4.952374e-02
6.293295003206761e-07	7.273705e-02	7.583164e-08	1.038394e-01	1.033747e-01	4.952652e-02
6.293968098617110e-07	7.274538e-02	7.584801e-08	1.038505e-01	1.033858e-01	4.953207e-02
6.295314289437808e-07	7.276203e-02	7.588076e-08	1.038727e-01	1.034080e-01	4.954318e-02
6.298006671079203e-07	7.279534e-02	7.594627e-08	1.039171e-01	1.034524e-01	4.956540e-02
6.303391434361993e-07	7.286196e-02	7.607738e-08	1.040060e-01	1.035412e-01	4.960983e-02
6.314160960927576e-07	7.299521e-02	7.633994e-08	1.041837e-01	1.037188e-01	4.969867e-02
6.335700014058738e-07	7.326169e-02	7.686642e-08	1.045391e-01	1.040740e-01	4.987635e-02
6.378778120321064e-07	7.379466e-02	7.792478e-08	1.052498e-01	1.047845e-01	5.023169e-02
6.464934332845715e-07	7.486057e-02	8.006316e-08	1.066714e-01	1.062055e-01	5.094249e-02
6.637246757895017e-07	7.699239e-02	8.442652e-08	1.095146e-01	1.090474e-01	5.236417e-02
6.981871607993622e-07	8.125599e-02	9.349965e-08	1.152009e-01	1.147313e-01	5.520739e-02
7.671121308190831e-07	8.978314e-02	1.130315e-07	1.265735e-01	1.260990e-01	6.089395e-02
9.049620708585249e-07	1.068374e-01	1.576378e-07	1.493187e-01	1.488345e-01	7.226696e-02
1.180661950937409e-06	1.409459e-01	2.690202e-07	1.948092e-01	1.943055e-01	9.501306e-02
1.732061711095176e-06	2.091630e-01	5.804648e-07	2.857902e-01	2.852474e-01	1.405052e-01
2.732061711095176e-06	3.328791e-01	1.446954e-06	4.507902e-01	4.501767e-01	2.230082e-01
3.732061711095176e-06	4.565953e-01	2.702335e-06	6.157902e-01	6.151061e-01	3.055112e-01
5.732061711095176e-06	7.040279e-01	6.379769e-06	9.457902e-01	9.449652e-01	4.705173e-01
6.732061711095176e-06	8.277442e-01	8.801821e-06	1.110790e+00	1.109895e+00	5.530203e-01
9.732061711095175e-06	1.198891e+00	1.840129e-05	1.605790e+00	1.604680e+00	8.005294e-01
1.073206171109517e-05	1.322603e+00	2.237887e-05	1.770790e+00	1.769599e+00	8.830324e-01
